Event Name,EMS Reservation ID,Day,Date,Event Start Time,Event End Time,Event Duration (hours),Event Duration (minutes),Booking Status,Building / Outside / Off Campus / Virtual,Location / Room,"Host. Select one: Art Museum, PU Department,PPU Group, Corporate","Campus Department / Event Organizer: Museum Education, Museum Development, Dept Art & Arch, Noom, etc.",Event Lead,Event Contact,Program Partner(s) and/or Cosponsor(s),Exhibition / Initiative,"Event Format (in person, virtual, or hybrid)",Event Type  (Select One: Concert; Conference; Film Screening; Lecture; Meeting; Open House; Other; Panel Discussion; Performance; Reception; Rehearsal; Student Organizations Event; Studio [for programs in the Creativity Labs]; Study Break/Review Session; Tour; Training Session),Target Audience (Select One: Student-Centric; Departmental/Academic; General Audience; Multi-generational; Corporate; Cultivation; Friends; Partners),Event Access (Public or Private),Registration (Y/N),Fee (Y/N),Setup / Expected Attendance #,Actual Attendance #,Chartstring,Notes,Feedback
The Ballgame of Ancient Mexico,,Friday,"June 12, 2026",5:30 PM,6:30 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara Bramson,,Conculte of Mexico in New Brunswick,,In Person,Lecture,General Audience,Public,N,N,,70,41411 B0001 GU633,Secondary Locations: Art of the Ancient Americas Galleries,
Conservation Studios Visiting Hours,,Thursday,"June 18, 2026",3:00 PM,5:00 PM,2:00,120.0,Confirmed,Art Museum,Conservation Studios,Art Museum,Museum Education,Danielle Beach,,,Public Programs,In Person,Open House,General Audience,Public,N,N,,82,41415 B0371 GU633,,
Noom Art of Wellbeing Summit,439410,Wednesday,"January 7, 2026",8:00 AM,6:30 PM,10:30,630.0,Confirmed,Art Museum,Grand Hall,Corporate,Noom,Tegan,Shannon Lorenzo,,,In Person,Conference,Corporate,Private,Y,N,,140,41420-A0006-AO099,Secondary Locations: N/S Art Walk,"Positive, returning next year, have driving/parking directions premade"
PRINCO January Board Dinner,435141,Thursday,"January 29, 2026",6:00 PM,9:00 PM,3:00,180.0,Confirmed,Art Museum,Mosaic,PU Department,PRINCO,Tegan,Kathleen Cloys,,,In Person,Dinner,PRINCO Board Members,,,,,70,13900-A0020,"Stanchions at bottom of stairs worked well, sign at 1st floor elevator was good, sign by coat check would help, James' remarks ran over and dinner went 30+ min over, vents in kitchen need to stay on, reception at top of stairs was too packed and potenitlaly a hazard (sardines)","Positive, same as my notes"
Stacy Wolf,430133,Friday,"February 13, 2026",12:00 PM,1:30 PM,1:30,90.0,Confirmed,Art Museum,Creativity Lab,PU Department,Lewis Center / Princeton Arts Fellows,,Stacy Wolf,,,In Person,Lecture,Public,,,,,25,,"Need to find remote for TV, had to unplug the apple TV. Also, have an HDMI on hand. ",Extremely happy
A&A Lecture,450355,Wednesday,"February 18, 2026",5:00 PM,7:00 PM,2:00,120.0,Confirmed,Art Museum,Grand Hall,PU Department,A&A,,Mo Chen,,,In Person,Lecture and Reception,Public,,,,,100,20100-E3432-6566,Secondary Locations: N/S Art Walk,Happy - loved it
Princeton Research Day,464836,Friday,"February 20, 2026",4:00 PM,6:00 PM,2:00,120.0,Confirmed,Art Museum,"Grand Hall, Tuttle, and Seminar Rooms",PU Department,Office of Undergraduate Research,,Pascale Maloof Poussart,,,In Person,Fair,Public,,,,,300,51205-A0006-GU289,"Too crowded, too warm. This space wasnt really made for this type of event. Posters were accidentally removed because students werent aware there was more than one hanging when they removed their own",Positive
Alumni Day Closing Reception,457607,Saturday,"February 21, 2026",4:00 PM,5:30 PM,1:30,90.0,Confirmed,Art Museum,Grand Hall,PU Department,Advancement (Alumni Engagement),,Christina M Gonzalez-Aguirre,,,In Person,Reception,Public,,,,,450,55022-A0000-GU004,"Forgot to order coat racks and garbage cans, wanted no end time when they most definitely had an end timee, over ecible limi, too hot, too many people, and custodial was nowhere to be found or contacted, they also didn't order enough 8ft tables deespite being shown what had been ordered. ",Mid
Richard Mosse Lecture,460518,Wednesday,"February 25, 2026",5:00 PM,7:00 PM,2:00,120.0,Confirmed,Art Museum,Grand Hall,PU Department,Comparative Literature and A&A,,Florian Endres and Margaret Hire,,,In Person,Lecture,Public,,,,,35,21005-E0091-FR035,We weren't capable of the quality they wanted but made do,Happy but not at first due to the technical limitations of the space
Spring Communications Meeting,479689,Tuesday,"March 24, 2026",3:00 PM,4:30 PM,1:30,90.0,Confirmed,Art Museum,Grand Hall,PU Department,Office of Communition,,Katie Van Hise,,,In Person,Lecture and Reception,PU Communicaitions Affiliated Staff,,,,,140,54000-A0000,Needed an additional 30 minutes for the reception because the meeting ran 30min over,Positive 
Amicus Therapeutics,472528,Wednesday,"March 25, 2026",6:30 PM,9:30 PM,3:00,180.0,Confirmed,Art Museum,"Grand Hall, Art Walks, Entrance Court, Orientation Gallery, and all Galleries",Corporate,Amicus Therapeutics,,Leslie Hollander,,,In Person,Everything,Amicus Staff,,,,,350,,,
Office of the President Trustees Dinner,449543,Friday,"March 27, 2026",6:00 PM,9:00 PM,3:00,180.0,Confirmed,Art Museum,Grand Hall,PU Department,Office of the President,,Cristin Volz,,,In Person,Dinner and Reception,Trustees,,,,,60,54100-A0018-6566-100131,"Last minute they wanted no soft seating but we couldnt move it. Also, start time was pushed to 6:45 PM and we weren't notified",Positive
BSU Gala,479321,Saturday,"April 4, 2026",5:00 PM,9:00 PM,4:00,240.0,Confirmed,Art Museum,Grand Hall,PU Group,Black Student Union,,Tamara Aguetse,,,In Person,Gala,,,,,,40,15231-Q0001-6566-100131,Janitorial didn't pick up the trash which caused a ant problem. Plan in place to fix for future events via email chain in folder. ,"Happy with the event, may want to return in the future "
PAW Lecture and Reception,"466848
466851",Wednesdat,"April 8, 2026",4:30 PM,7:00 PM,2:30,150.0,Confirmed,Art Museum,Tuttle and Education Commons,Council of Humanities,Council of Humanities,,Kristina Corvin,,,In Person,Lecture and Reception,Kenneth Lapin from the Getty | Speaker,,,,,40,21003-E2977-AC139,They were short on their order for an 8ft table,"Positive, but they would have like to have high tops which we vetoed due to spacing"
Chairs + Directors Meeting,440037,Monday,"April 13, 2026",4:30 PM,6:00 PM,1:30,90.0,Confirmed,Art Museum,Grand Hall and N/S Art Walk,Office of the Dean of Faculty,Office of the Dean of Faculty,,Kate Nolan,,,In Person,Meeting and Reception,Vairous Speakers,,,,,60,51100-A0000-6566,"Floor plan changed day of, Kate never indicated wanting changes from the floor plan that was initially changed. A new floor plan was created after the event and added to the folder","Positive, people left early"
PPPL Advisory Board,453551,Wednesday,"April 15, 2026",6:15 PM,8:00 PM,1:45,105.0,Confirmed,Art Museum,Mosaic,PPPL,PPPL,,Meghann Kleespie,,,In Person,Reception,,,,,,45,31019-A0006-GU248,Miscommunication with Janitorial again. They came to clean before the event but Frank was able to catch them and ask them to come back after the event,"Positive, very happy, would want to do this again if the budget allows - only feedback was because the dessert tray was not with the rest of the food, people didnt eat it."
A&A Haley Lecture,419814,Tuesday,"April 21, 2026",5:00 PM,7:00 PM,2:00,120.0,Confirmed,Art Museum,Grand Hall and N/S Art Walk,A&A,A&A,,Mo Chen,,,In Person,Lecture and Reception,,,,,,100,20100-E0202,"Good, had weird table mix up but everything went well",Positive
Gratitude Gala,464505,Wednesday,"April 22, 2026",4:30 PM,6:00 PM,1:30,90.0,Confirmed,Art Museum,Grand Hall and N/S Art Walk,Office of the Dean of Undergraduate Students,Office of the Dean of Undergraduate Students,,Michele Jannos,,,In Person,Reception,,,,,,180,15686-Q0001-ST172,"Went well, they had a strict schedule. They ended up pouring water from vases into our garbage cans which caused more cleanup for Dennis. Next time add the art walk to the reservation and push for no lingering. Add signs next time. ",Positive
DSG Meeting,463339,Monday,"April 27, 2026",4:30 PM,5:30 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Dean of the Graduate School,Dean of the Graduate School,,Belle Burns,,,In Person,Meeting,Dean of Graduate School Staff,,,,,50,50601-A0000-GU198,"Went well, they might look into doing a monthly meeting in the space depending on charges",Positive
IvyPlus Welcome Reception,431193,Wednesday,"April 29, 2026",5:00 PM,6:30 PM,1:30,90.0,Confirmed,Art Museum,Mosaic,Dean of the Graduate School,Dean of the Graduate School,,Belle Burns,,,In Person,Reception,,,,,,54,50608-A0000-GU302,"loved the event, ended on time","They had a bad internation with some of our tour staff, they stated they were rude and the entire ecouter was akward. It stemmed form a misunderstanding regarding the ""not mandatory"" tours that were scheduled"
Class of 1976 Reception,469701,Thursday,"May 21, 2026",5:00 PM,7:00 PM,2:00,120.0,Confirmed,Art Museum,Grand Hall,Reunions,Reunions,,Tegan Campbell,,,In Person,Reception,,,,,,400,,First night was more sparse by the time James gave his speech. Coat presented,Positive
Class of 1976 Reception,469701,Friday,"May 22, 2026",5:00 PM,7:00 PM,2:00,120.0,Confirmed,Art Museum,Grand Hall,Reunions,Reunions,,Tegan Campbell,,,In Person,Reception,,,,,,400,,Went well. Speech was earlier so more people were there for it. ,Positive
Class of 1991 Drinks,478710,Friday,"May 22, 2026",5:30 PM,7:30 PM,2:00,120.0,Confirmed,Art Museum,West Terrace,Reunions,Reunions,,"Tegan Campbell
Joy Allen",,,In Person,Reception,Class of 1991,,,,,400,,"Self pouring alcohol (had to stop it), no security for entrances/exits to West Terrace, no communication from this class, music too loud, had a capella performers","Good, just unhappy with the alcohol restrictions"
1746 Society Breakfast,457605,Saturday,"May 23, 2026",8:00 AM,10:00 AM,2:00,120.0,Confirmed,Art Museum,Grand Hall,Reunions / Advancement,Reunions / Advancement,,"Tegan Campbell
Eloise Tomei",,,In Person,Breakfast,Individuals who have bequests to Princeton,,,,,176,55015-A0000-AM200,,
Pre-P-rade Class of   Lunch,479534,Saturday,"May 23, 2026",11:45 AM,1:30 PM,1:45,105.0,Confirmed,Art Museum,West Terrace,Reunions,Reunions,,"Tegan Campbell
Joy Allen",,,In Person,Lunch,Class of 1971,,,,,350,,No class communication,Good
Class of 1978 Drinks and Dinner,469723,Saturday,"May 23, 2026",5:00 PM,9:00 PM,4:00,240.0,Confirmed,Art Museum,"Grand Hall, Orientation Gallery",Reunions,Reunions,,Tegan Campbell,,,In Person,Reception and Dinner,Class of 1978,,,,,120,,"Student crew checked the guest list at the doors which worked well. We did have a drunk guest that caused a mild disruption. A jacket was presented to James. Overall, the class was great to work with. ",Very positive. They put in a request to return next year. They were thrilled
IC3 Camp Dinner,482821,Friday,"June 5, 2026",6:00 PM,8:00 PM,2:00,120.0,Confirmed,Art Museum,Mosaic,DeCenter,DeCenter,,Tegan Campbell,,,In Person,Dinner, Initiative for CryptoCurrencies and Contracts (IC3) / Cornell Tech,,,,,80,61106-A0000-GU292,,
14th Internation Conference on Construction Grammar (ICCP14),498986,Saturday,"June 6, 2026",6:30 PM,9:30 PM,3:00,180.0,Confirmed,Art Museum,Mosaic,Psychology,Psychology,,Tegan Campbell,,,In Person,Dinner,ICCG14 Conference Attendees,,,,,50,23900-E0195-AD379,,
College Well Board Dinner,487306,Sunday,"June 7, 2026",5:30 PM,8:00 PM,2:30,150.0,Confirmed,Art Museum,"Mosaic, Mosaic Terrace
Rain location is 3rd floor landing",Office of Finance and Treasury,Office of Finance and Treasury,,Nari Baughman and Jason Knoch,,,In Person,Reception and Dinner,Tuition Planning Consortium Board of Trustees,,,,,27,54315-A0015-GU292,,
ICUNJ,437820,Wednesday,"June 10, 2026",12:00 PM,7:00 PM,7:00,420.0,Confirmed,Art Museum,"Tuttle, Education Commons, and Grand Hall",Independent Colleges and Universities of New Jersey,Independent Colleges and Universities of New Jersey,,Tegan Campbell,,,In Person,Panel and Reception,ICUNJ Members,,,,,100,61106-A0000-GU268,,
